發現日期,機構名稱,標書項目名稱,截標日期,連結,來源
"2026-08-23 09:56","投委會 (IFEC)","IFEC Public Education Campaigns 2026-27","未知(未經AI判斷)","https://www.ifec.org.hk/sites/web/common/pdf/tender/public-education-campaigns-26-27.pdf","全量掃描"
"2026-08-23 09:56","競委會","Tender for the production of TV and radio APIs, short videos, with advertising plan and key visuals for Competition Commission&#39;s publicity campaign on the &quot;Exchange of competitively sensitive information&quot;","未知(未經AI判斷)","https://www.compcomm.hk/en/about/tender/files/Tender_Notice_Campaign_2025.pdf","全量掃描"
"2026-08-23 09:56","保良局 (Po Leung Kuk)","保良局服務介紹短片","未知(未經AI判斷)","https://www.poleungkuk.org.hk/about-us/po-leung-kuk-corporate-video","全量掃描"
"2026-08-23 09:56","香港鄰舍輔導會","新聞稿及媒體報導","未知(未經AI判斷)","https://www.naac.org.hk/zh-hant/resource_center/press_releases_and_media_coverage/","全量掃描"
"2026-08-23 09:56","教育局 (EDB)","- 教育多媒體(EMM)","未知(未經AI判斷)","https://emm.edcity.hk/","全量掃描"
"2026-08-23 09:56","教育局 (EDB)","教育多媒體(EMM)","未知(未經AI判斷)","https://emm.edcity.hk/","全量掃描"
"2026-08-23 09:56","康樂及文化事務署 (LCSD)","香港公共圖書館推廣活動","未知(未經AI判斷)","https://www.hkpl.gov.hk/tc/extension-activities/all-events/search?dist_id=&lib_id=77&cat_id=0&year=0&month=0","全量掃描"
"2026-08-23 09:56","康樂及文化事務署 (LCSD)","學校體育推廣計劃","未知(未經AI判斷)","https://www.lcsd.gov.hk/tc/ssp/index.html","全量掃描"
"2026-08-23 09:56","懲教署 (CSD)","Publicity Activities","未知(未經AI判斷)","https://www.csd.gov.hk/english/reh/reh_publicity/reh_pub.html","全量掃描"
"2026-08-23 09:56","懲教署 (CSD)","Rank Insignia and Promotion Prospects","未知(未經AI判斷)","https://www.csd.gov.hk/english/recruit/rankinsignia_promotion/rankinsignia_promotion.html","全量掃描"
"2026-08-23 09:56","懲教署 (CSD)","Promotional Videos","未知(未經AI判斷)","https://www.csd.gov.hk/english/recruit/recruit_video/recruit_video.html","全量掃描"
"2026-08-23 09:56","發展局 (DEVB)","Award of tender - Provision of Outreach Support Service for Minority Owners in Prospective Compulsory Sale Cases under the Land (Compulsory Sale for Redevelopment) Ordinance (Cap. 545) and Public Education/Publicity Programme on Mediation in Compulsory Sale Cases","未知(未經AI判斷)","https://www.devb.gov.hk/filemanager/en/content_787/Award_Of_Tender_20190329A.pdf","全量掃描"
"2026-08-23 09:56","HAD 民政事務總署","Administrative Guidelines on Promotion of Racial Equality","未知(未經AI判斷)","https://www.had.gov.hk/en/about_us/admin_guide_pore.htm","全量掃描"
"2026-08-23 09:56","HAD 民政事務總署","Promotion of Social Enterprises","未知(未經AI判斷)","https://www.sehk.gov.hk/en/","全量掃描"
"2026-08-23 09:56","HAD 民政事務總署","Clansmen Culture Promotion Scheme","未知(未經AI判斷)","https://www.had.gov.hk/en/public_services/clansmen_culture_promotion_scheme/index.htm","全量掃描"
"2026-08-23 09:56","ISD 政府新聞處","Local Public Relations","未知(未經AI判斷)","https://www.isd.gov.hk/eng/pr.htm","全量掃描"
"2026-08-23 09:56","ISD 政府新聞處","Public Relations Outside Hong Kong","未知(未經AI判斷)","https://www.isd.gov.hk/eng/opr.htm","全量掃描"
"2026-08-23 09:56","ISD 政府新聞處","Publicity and Promotions","未知(未經AI判斷)","https://www.isd.gov.hk/eng/pub.htm","全量掃描"
"2026-08-23 09:56","landreg 土地註冊處","Administrative Guidelines on Promotion of Racial Equality","未知(未經AI判斷)","https://www.landreg.gov.hk/en/about/equality.htm","全量掃描"
"2026-08-23 09:56","香港體育學院","Measures on the Promotion of Racial Equality","未知(未經AI判斷)","https://www.hksi.org.hk/hksi/measures-on-the-promotion-of-racial-equality","全量掃描"
"2026-08-23 09:56","澳門特別行政區政府旅遊局","海外推廣活動及報名","未知(未經AI判斷)","https://www.dst.gov.mo/zh-hant/trade-association/promotion/promotion-activities-registration.html","全量掃描"
"2026-08-23 09:56","網總","HKCTA Primary School Tennis Promotion Scheme","未知(未經AI判斷)","https://www.tennishk.org/en/learn-to-play/junior-tennis/hkta-primary-school-mini-tennis-promotion-scheme/","全量掃描"
"2026-08-23 09:56","網總","Media Buy and Planning Services Provider for Hong Kong Tennis Season 2026/2027 - Prudential Hong Kong Tennis Open 2026 (WTA 250) & Bank of China Hong Kong Tennis Open 2027 (ATP 250)","未知(未經AI判斷)","https://www.tennishk.org/wp-content/uploads/2026/07/HKTS-2026-010-Media-Buying-Planning-Tender.pdf","全量掃描"
"2026-08-23 09:56","亞洲國際博覽館管理有限公司 (AsiaWorld-Expo Management Limited)","Special Promotion","未知(未經AI判斷)","https://www.asiaworld-expo.com/en-us/whats-on/special-promotion","全量掃描"
"2026-08-23 09:56","亞洲國際博覽館管理有限公司 (AsiaWorld-Expo Management Limited)","Event Production","未知(未經AI判斷)","https://www.asiaworld-expo.com/en-us/planning/event-services/event-production","全量掃描"
"2026-08-23 09:56","亞洲國際博覽館管理有限公司 (AsiaWorld-Expo Management Limited)","Advertising","未知(未經AI判斷)","https://www.asiaworld-expo.com/en-us/planning/event-services/advertising","全量掃描"
"2026-08-23 09:56","香港鐵路有限公司(港鐵) (MTR Corporation)","Marketing","未知(未經AI判斷)","https://www.mtr.com.hk/en/corporate/tenders/marketing.html","全量掃描"
"2026-08-23 09:56","香港會計師公會 (Hong Kong Institute of Certified Public Accountants (HKICPA))","就媒體對香港會計師公會2020 年理事會選舉安排報導的回應","未知(未經AI判斷)","https://www.hkicpa.org.hk/en/News/News-Release/HKICPA-statement---Council-election-2020","全量掃描"
"2026-08-23 09:56","香港醫學專科學院 (Hong Kong Academy of Medicine (HKAM))","Event Management Services","未知(未經AI判斷)","https://www.hkam.org.hk/en/event-management-services","全量掃描"
"2026-08-23 09:56","香港醫學專科學院 (Hong Kong Academy of Medicine (HKAM))","Promotion of Doctors’ Well-being","未知(未經AI判斷)","https://www.hkam.org.hk/en/initiative/promotion-doctors-well-being","全量掃描"
"2026-08-23 09:56","國際培幼會(香港) (Plan International Hong Kong)","Girls Fund One-Off Donation &#8211; End FGM Campaign","未知(未經AI判斷)","https://donation-gp.plan.org.hk/en/2026FGM/one-off/choose-amount","全量掃描"
"2026-08-23 09:56","保安局 (Security Bureau (SB))","Security Bureau social media platforms","未知(未經AI判斷)","https://www.sb.gov.hk/eng/links/socialMedia.html","全量掃描"
"2026-08-23 09:56","保安局 (Security Bureau (SB))","Consultation on the Proposed Introduction of Offences of Voyeurism, Intimate Prying, Non-consensual Photography of Intimate Parts, and Related Offences","未知(未經AI判斷)","https://www.sb.gov.hk/eng/special/voyeurism/index.html","全量掃描"
"2026-08-23 09:56","保安局 (Security Bureau (SB))","Promotion of Racial Equality","未知(未經AI判斷)","https://www.sb.gov.hk/eng/equality/index.html","全量掃描"
"2026-08-23 09:56","地政總署 (Lands Department (LandsD))","Promotion of Racial Equality","未知(未經AI判斷)","https://www.landsd.gov.hk/en/about-us/racial-equality.html","全量掃描"
"2026-08-23 09:56","香港演藝學院 (The Hong Kong Academy for Performing Arts (HKAPA))","Social Media","未知(未經AI判斷)","https://www.hkapa.edu/media/social-media","全量掃描"
"2026-08-23 09:56","香港科技大學 (The Hong Kong University of Science and Technology (HKUST))","HKUST EMBA Online PR Campaign 2026","未知(未經AI判斷)","javascript:void(0);","全量掃描"
"2026-08-23 09:56","PMQ 元創方 (PMQ (PMQ Management Co. Ltd))","Promotions","未知(未經AI判斷)","https://www.pmq.org.hk/happenings/promotions/","全量掃描"
"2026-08-23 09:56","香港舞蹈團 (Hong Kong Dance Company)","Brand campaign","未知(未經AI判斷)","https://www.hkdance.com/en/brand-campaign-video-2023","全量掃描"
"2026-08-23 09:56","九龍樂善堂 (The Lok Sin Tong Benevolent Society, Kowloon)","社區疫苗接種推廣計劃","未知(未經AI判斷)","https://www.loksintong.org/community-vaccination-promotion-programme","全量掃描"
"2026-08-23 09:56","九龍樂善堂 (The Lok Sin Tong Benevolent Society, Kowloon)","到校健康推廣服務","未知(未經AI判斷)","https://www.loksintong.org/school-health-promotion-programme","全量掃描"
"2026-08-23 09:56","九龍樂善堂 (The Lok Sin Tong Benevolent Society, Kowloon)","企業健康推廣平台","未知(未經AI判斷)","https://www.loksintong.org/health-promotion-in-workplace","全量掃描"
"2026-08-23 09:56","基督教家庭服務中心 (Christian Family Service Centre (CFSC))","青少年精神健康推廣及治療中心","未知(未經AI判斷)","https://mentalhealthservice.cfsc.org.hk/projects/ym","全量掃描"
"2026-08-23 09:56","基督教家庭服務中心 (Christian Family Service Centre (CFSC))","幸福雜貨舖—精神健康流動宣傳車服務","未知(未經AI判斷)","https://mentalhealthservice.cfsc.org.hk/community-service/mvps","全量掃描"
"2026-08-23 09:56","中國香港排球總會 (Volleyball Association of Hong Kong, China)","2026年02月26日 世界女排聯賽香港2026 - 社區活動製作與管理招標公告 詳情 >","未知(未經AI判斷)","https://www.vbahk.org.hk/%E4%B8%96%E7%95%8C%E5%A5%B3%E6%8E%92%E8%81%AF%E8%B3%BD%E9%A6%99%E6%B8%AF2026---%E7%A4%BE%E5%8D%80%E6%B4%BB%E5%8B%95%E8%A3%BD%E4%BD%9C%E8%88%87%E7%AE%A1%E7%90%86%E6%8B%9B%E6%A8%99%E5%85%AC%E5%91%8A","全量掃描"
"2026-08-23 09:56","香港旅遊發展局 (HKTB)","Event Management Company for 2027 International Chinese New Year Night Parade","未知(未經AI判斷)","https://www.discoverhongkong.com/content/dam/dhk/intl/corporate/about-hktb/tender-notice/tender-in-progress/eng/2026/08-CNY-Event-management-EN.pdf","全量掃描"
"2026-08-23 09:56","香港旅遊發展局 (HKTB)","Advertising cookies","未知(未經AI判斷)","https://www.discoverhongkong.com/eng/hktb/about/procurement.html#AdvertisingCookies","全量掃描"
"2026-08-23 09:56","香港出口信用保險局 (HKECIC)","Advertising Services Policy","未知(未經AI判斷)","https://www.hkecic.com/en/advertising_services_policy","全量掃描"
"2026-08-23 09:56","香港出口信用保險局 (HKECIC)","Marketing Case Sharing","未知(未經AI判斷)","https://www.hkecic.com/en/marketing_case_sharing","全量掃描"
"2026-08-23 09:56","香港出口信用保險局 (HKECIC)","Promotion of Racial Equality","未知(未經AI判斷)","https://www.hkecic.com/en/promotion_of_racial_equality","全量掃描"
"2026-08-23 09:56","東華學院 (Tung Wah College (TWC))","Communications and Public Relations Office","未知(未經AI判斷)","https://www.twc.edu.hk/en/Administration_Units/cpro","全量掃描"
"2026-08-23 09:56","東華學院 (Tung Wah College (TWC))","Campaigns","未知(未經AI判斷)","https://www.twc.edu.hk/en/Administration_Units/giving_to_twc/Campaigns","全量掃描"
"2026-08-23 09:56","新生精神康復會 (New Life Psychiatric Rehabilitation Association (NLPRA))","MENTAL HEALTH PROMOTION & PREVENTION","未知(未經AI判斷)","javascript:void(0);","全量掃描"
"2026-08-24 10:17","新生精神康復會 (New Life Psychiatric Rehabilitation Association (NLPRA))","精神健康推廣及預防","未知(未經AI判斷)","https://www.nlpra.org.hk/tc/mhpp","全量掃描"
"2026-08-25 10:19","香港警務處 (Hong Kong Police Force (HKPF))","Quotation for the Operation of Promotion Stall at Police Officers’ Club, No. 28 Hung Hing Road, Causeway Bay, Hong Kong","未知(未經AI判斷)","https://www.police.gov.hk/ppp_en/11_useful_info/tenders_2026_31.html","全量掃描"
"2026-08-27 10:59","HKIRC 香港互聯網註冊管理有限公司","Unsubscribe Marketing Emails","未知(未經AI判斷)","https://www.hkirc.hk/optout_market.jsp","全量掃描"
"2026-08-27 10:59","HKIRC 香港互聯網註冊管理有限公司","取消訂閱推廣電郵","未知(未經AI判斷)","https://www.hkirc.hk/optout_market.jsp","全量掃描"
